aDNA_ID	Locality	Clonality	Frac	AA	BB	AB	SNPs
COD332	Oslo_Brann_1	0.0583074835207	0.00528188647051	0.0	0.992	0.008	140
COD333	Oslo_Brann_1	0.0898983438653	0.139629352199	1.0	0.0	0.0	2453
COD334	Oslo_Brann_1	0.0895912901869	0.112033126966	0.0	0.0	1.0	1247
COD335	Oslo_Brann_1	0.0672015049242	0.0213900364557	0.0	0.0	1.0	125
COD336	Oslo_Brann_1	0.0727092976228	0.0023696472929	1.0	0.0	0.0	34
COD338	Oslo_Brann_1	0.0536073550167	0.157581118874	1.0	0.0	0.0	2564
COD339	Oslo_Brann_1	0.0643821504685	0.00781072042822	1.0	0.0	0.0	173
COD341	Oslo_Brann_1	0.0578216667599	0.119172692064	1.0	0.0	0.0	2288
COD342	Oslo_Brann_1	0.0581473755078	0.231654813666	0.0	0.0	1.0	2958
COD343	Oslo_Brann_2	0.111956068652	0.0097872017271	1.0	0.0	0.0	388
COD348	Oslo_Brann_2	0.0756650061096	0.000701851599282	0.0	0.995	0.005	9
COD356	Oslo_Brann_2	0.101601296197	0.368893757222	1.0	0.0	0.0	7661
COD358	Oslo_Brann_2	0.0899703791155	0.35757342449	1.0	0.0	0.0	5554
COD365	Oslo_Brann_2	0.093476272397	0.0558767464276	1.0	0.0	0.0	1634
COD367	Oslo_Brann_2	0.133192868309	0.195714080828	0.0	0.0	1.0	4868
COD372	Oslo_Brann_3	0.0610299907969	0.0144105376397	1.0	0.0	0.0	296
COD377	Oslo_Brann_3	0.0650013737522	0.0038728098204	0.0	0.001	0.999	65
COD379	Oslo_Brann_3	0.0975068432344	0.000465523001679	0.876	0.001	0.124	7
COD383	Oslo_Brann_3	0.134712270287	0.0107932549799	0.0	0.0	1.0	219
COD389	Oslo_Brann_3	0.0671316604192	0.00929334761168	0.0	0.0	1.0	125
COD391	Oslo_Brann_3	0.113118348091	0.110709898839	1.0	0.0	0.0	3303
COD394	Oslo_Brann_3	0.107141691383	0.0262978669184	1.0	0.0	0.0	1065
COD395	Oslo_Brann_3	0.0622615869371	0.132365198562	1.0	0.0	0.0	3189
COD396	Oslo_Brann_4	0.0383561643836	0.0000430611866338	NA	NA	NA	0
COD398	Oslo_Brann_4	0.0959507042254	0.00112863249292	1.0	0.0	0.0	31
COD405	Oslo_Brann_4	0.0626994696002	0.206002879486	1.0	0.0	0.0	4284
COD406	Oslo_Brann_8	0.0582524271845	0.0000192496945351	NA	NA	NA	0
COD407	Oslo_Brann_8	0.0659217877095	0.0000774724053208	0.0	0.0	1.0	1
COD408	Oslo_Brann_5	0.0930019639983	0.0026297259692	1.0	0.0	0.0	65
COD409	Oslo_Brann_7	0.0626056039956	0.0294374665974	0.0	0.0	1.0	376
COD410	Oslo_Brann_5	0.0630323679727	0.0000292244981848	NA	NA	NA	0
COD411	Oslo_Brann_6	0.0616763583722	0.239838829651	0.0	0.0	1.0	4738
COD412	Oslo_Brann_5	0.0526315789474	0.0000162689167583	NA	NA	NA	0
COD413	Oslo_Brann_5	0.0671376051828	0.0542323356951	1.0	0.0	0.0	639
COD414	Oslo_Brann_6	0.0660656000279	0.0426947917007	0.0	0.0	1.0	1434
COD415	Oslo_Brann_5	0.0542682926829	0.000231445695468	0.8	0.011	0.19	3
COD416	Oslo_Brann_7	0.0770142180095	0.000101660684042	0.017	0.65	0.333	1
COD417	Oslo_Brann_7	0.0877329192547	0.0000569639826191	0.0	0.795	0.204	2
COD418	Oslo_Brann_7	0.0670699631773	0.000117457468028	0.391	0.218	0.391	2
COD420	Oslo_Brann_4	0.0964773922187	0.000382844426038	0.94	0.0	0.06	6
COD421	Oslo_Brann_4	0.0619472364178	0.00204323035771	1.0	0.0	0.0	77
COD422	Oslo_Brann_4	0.0626865671642	0.0000422001377821	NA	NA	NA	0
COD423	Oslo_Brann_4	0.0865437283184	0.000253359546062	0.782	0.015	0.202	3
COD427	Oslo_Brann_4	0.0606725146199	0.000124283015154	0.696	0.039	0.265	3
